GROUPS,FILE NAMES,ATTRIBUTE NAMES,% DISTRIBUTION,expected_dist,upper,lower,real_dist,difference
5-BANDANAS,JRS BANDANA 9 BROWN LEATHER.png,LEATHER BROWN,4,193,198,187,194.0,0.005154639175257714
5-BANDANAS,JRS BANDANA 10 BROWN LEATHER JRS.png,LEATHER BROWN JRS,5,242,249,234,242.0,0.0
5-BANDANAS,JRS BANDANA 11 BLACK LEATHER.png,LEATHER BLACK,5,242,249,234,242.0,0.0
5-BANDANAS,JRS BANDANA 12 BLACK LEATHER JRS 1.png,LEATHER BLACK JRS 1,5,242,249,234,242.0,0.0
5-BANDANAS,JRS BANDANA 13 BLACK LEATHER JRS 2.png,LEATHER BLACK JRS 2,5,242,249,234,242.0,0.0
5-BANDANAS,JRS BANDANA 14 BLACK LEATHER JRS 3.png,LEATHER BLACK JRS 3,5,242,249,234,242.0,0.0
6-EYE COVER,JRS EYE COVER 1 PATCH 1 BROWN.png,PATCH 1 BROWN,3,145,149,140,145.0,0.0
6-EYE COVER,JRS EYE COVER 2 PATCH 1 BLACK.png,PATCH 1 BLACK,5,242,249,234,242.0,0.0
6-EYE COVER,JRS EYE COVER 3 PATCH 1 BLACK BLUE GEMS.png,PATCH 1 BLACK BLUE GEMS,3,145,149,140,145.0,0.0
6-EYE COVER,JRS EYE COVER 4 PATCH 1 BLACK JRS 1.png,PATCH 1 BLACK JRS 1,6,290,298,281,290.0,0.0
6-EYE COVER,JRS EYE COVER 5 PATCH 1 BLACK JRS 2.png,PATCH 1 BLACK JRS 2,6,290,298,281,290.0,0.0
6-EYE COVER,JRS EYE COVER 6 PATCH 2 RUSTED.png,PATCH 2 RUSTED,3,145,149,140,147.0,0.013605442176870763
6-EYE COVER,JRS EYE COVER 7 PATCH 2 SILVER.png,PATCH 2 SILVER,2,96,98,93,97.0,0.010309278350515427
6-EYE COVER,JRS EYE COVER 8 PATCH 2 COPPER.png,PATCH 2 COPPER,1,48,49,46,48.0,0.0
6-EYE COVER,JRS EYE COVER 9 PATCH 2 GOLD.png,PATCH 2 GOLD,1,48,49,46,48.0,0.0
6-EYE COVER,JRS EYE COVER 10 PATCH 3 RUSTED.png,PATCH 3 RUSTED,3,145,149,140,145.0,0.0
6-EYE COVER,JRS EYE COVER 11 PATCH 3 SILVER.png,PATCH 3 SILVER,2,96,98,93,97.0,0.010309278350515427
6-EYE COVER,JRS EYE COVER 12 PATCH 3 COPPER.png,PATCH 3 COPPER,1,48,49,46,48.0,0.0
6-EYE COVER,JRS EYE COVER 13 PATCH 3 GOLD.png,PATCH 3 GOLD,1,48,49,46,48.0,0.0
6-EYE COVER,JRS EYE COVER 14 PATCH 4 BLACK.png,PATCH 4 BLACK,5,242,249,234,242.0,0.0
6-EYE COVER,JRS EYE COVER 15 PATCH 4 BROWN 1.png,PATCH 4 BROWN 1,4,193,198,187,194.0,0.005154639175257714
6-EYE COVER,JRS EYE COVER 16 PATCH 4 BROWN 2.png,PATCH 4 BROWN 2,4,193,198,187,194.0,0.005154639175257714
6-EYE COVER,JRS EYE COVER 17 GLASSES COPPER.png,GLASSES COPPER,3,145,149,140,145.0,0.0
6-EYE COVER,JRS EYE COVER 18 GLASSES COPPER GREEN.png,GLASSES COPPER GREEN,2,96,98,93,97.0,0.010309278350515427
6-EYE COVER,JRS EYE COVER 19 GLASSES BLACK TINTED.png,GLASSES BLACK TINTED,3,145,149,140,145.0,0.0
